#OK
#SQL= select fofId, x, y, z, vx, vy, vz, mass from miniMDR1..FOF f 
#	where f.snapnum=85
#	  and f.x between 390 and 392
#	
#MAXROWS UNLIMITED
#QUERYTIMEOUT 1400 sec
#DATE 2014-12-10 22:26:08.308 CET
#QUERYTIME 79 millisec
#COLUMN 1 name=fofId JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 3 name=y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 4 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 5 name=vx JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 6 name=vy JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 7 name=vz JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 8 name=mass JDBC_TYPE=7 JDBC_TYPENAME=real
fofId,x,y,z,vx,vy,vz,mass
85005971332,391.5982,510.1234,826.5339,-379.52,-375.93,295.24,5.5814396E11
85011903164,391.2334,511.8255,836.0839,-501.31,-500.86,132.97,2.09303994E11
85008127082,391.1739,508.2726,836.1024,-665.33,-384.31,136.14,3.92445002E11
85009755252,390.3299,509.9083,836.2362,-588.94,-536.16,123.51,3.05235001E11
85011673792,391.4206,511.9634,835.2737,-493.95,-490.27,259.1,2.18025001E11
85003158947,390.3319,498.208,835.2713,-645.95,-477.16,382.02,1.11628793E12
85007422522,391.7718,488.8868,837.9601,-290.72,-369.43,497.84,4.36050002E11
85010850963,390.8713,516.2599,838.1618,-449.96,-508.66,149.55,2.52908995E11
85010638222,390.0237,478.2713,833.4953,-280.96,-238.4,522.49,2.61630001E11
85011874808,390.4867,472.4918,832.6232,-329.4,-139.2,603.6,2.09303994E11
85006057383,391.0938,500.2473,830.1235,-601.89,-443.96,387.78,5.49422989E11
85009050853,391.6675,467.0071,829.4052,-323.11,-182.88,452.08,3.40118995E11
85001057966,391.4056,466.4096,829.0142,-353.05,68.6,579.74,3.53200479E12
85007981593,391.5114,506.7692,828.9968,-507.45,-419.13,379.02,4.01165976E11
85005961003,390.4836,483.4128,826.087,-309.85,-186.06,259.69,5.5814396E11
85002089056,391.9626,461.6365,824.4119,-366.77,89.09,516.78,1.735479E12
85008257459,390.1581,484.3938,824.3467,-374.59,-118.56,276.89,3.83723995E11
85008885983,390.7929,434.5879,823.5422,-284.92,-9.66,364.39,3.48840002E11
85009050872,391.7473,421.238,823.4062,-204.51,-163.44,398.82,3.40118995E11
85007422516,391.0674,433.2147,823.3492,-271.18,17.42,395.36,4.36050002E11
85011021849,391.3748,465.8948,821.179,-252.89,-30.71,486.09,2.44188004E11
85010638240,390.639,488.796,847.6846,-377.82,-752.5,553.99,2.61630001E11
85009755261,390.4602,513.2693,820.5148,-342.27,-371.79,208.96,3.05235001E11
85008409865,391.6184,473.7204,839.2197,-278.58,-158.16,728.08,3.75002989E11
85010638224,390.5817,427.6767,849.3491,-240.84,160.45,645.29,2.61630001E11
85009408888,391.027,509.5049,836.6415,-555.02,-419.99,31.03,3.22677015E11
85007055222,391.8551,480.9348,826.9071,-305.47,-180.58,431.17,4.62213022E11
85001884666,390.7852,487.4924,849.4547,-363.03,-879.08,576.97,1.93606202E12
85007422521,390.3253,459.162,851.0765,-310.82,139.02,981.2,4.36050002E11
85010638225,391.64,482.9071,851.7424,-191.82,-748.32,1078.1,2.61630001E11
85011021870,390.3208,486.1277,851.791,-438.82,-1015.16,718.7,2.44188004E11
85012964943,390.2574,486.4515,851.8778,-546.01,-1106.82,615.14,1.74420001E11
85013003032,390.8306,497.6254,836.0441,-531.21,-506.51,272.49,1.74420001E11
85001501000,391.2197,497.497,835.7938,-625.1,-448.94,305.82,2.45932202E12
85007552265,390.6352,465.3936,837.8034,-479.03,21.49,687.06,4.27328995E11
85012964919,391.254,459.595,838.7197,-394.38,207.67,730.63,1.74420001E11
85004459848,391.0998,465.9674,835.1071,-429.04,-72.58,642.72,7.6744799E11
85011429382,391.1827,457.3179,834.1584,-331.42,227.79,590.71,2.26746008E11
85012964942,390.9347,487.2406,849.4326,-367.3,-834.61,537.34,1.74420001E11
85005156076,390.3461,480.443,853.6371,-540.86,-898.13,-184.22,6.5407504E11
85009373977,391.555,479.6784,853.6498,-409.45,-504.33,337.56,3.22677015E11
85004922302,391.7996,492.8573,840.1235,-446.73,-489.52,356.23,6.88959E11
85005887872,390.4471,517.0605,854.3161,-299.38,-563.89,13.47,5.6686497E11
85000005391,391.3878,480.4604,854.3825,-344.61,-789.53,566.94,2.282024E14
85007045614,391.0332,481.5941,854.5892,-596.42,-645.13,412.78,4.62213022E11
85011455083,390.6116,499.6833,831.0961,-604.54,-395.73,409.26,2.26746008E11
85007685492,390.7151,427.5948,841.7501,-279.63,59.35,551.71,4.18607989E11
85009408876,391.7123,517.5762,854.84,-286.18,-579.05,14.74,3.22677015E11
85011855983,390.5324,481.0867,855.1736,-544.4,-875.42,677.83,2.09303994E11
85007811463,391.5451,481.0443,855.2534,-473.78,-329.99,-82.38,4.09886982E11
85000477767,391.5834,443.8728,841.9528,-223.58,195.9,720.86,7.8401792E12
85010253893,391.4326,479.9691,855.3069,-477.32,-609.57,593.53,2.79071982E11
85010110432,391.8997,496.6209,843.3879,-464.49,-648.93,209.08,2.87792988E11
85006828738,391.2431,459.9309,844.4658,-385.06,142.8,870.1,4.79655002E11
85011221574,390.5145,479.7676,828.5953,-170.35,-66.87,457.27,2.35466998E11
85007045615,391.9959,480.4504,856.006,-390.0,-80.74,387.65,4.62213022E11
85007541455,391.5874,477.4244,856.0275,-76.36,-109.62,603.26,4.27328995E11
85006046855,390.4955,487.7845,856.1426,-524.54,-1121.63,196.07,5.49422989E11
85007541456,391.4849,476.4875,856.2943,204.8,-221.94,641.84,4.27328995E11
85001490219,391.5294,480.618,827.1991,-190.41,-86.07,374.73,2.47676404E12
85007823023,391.9417,467.0011,850.5877,-384.48,137.97,1085.67,4.09886982E11
85011855982,390.3356,479.4648,856.6898,-359.18,-948.98,-32.43,2.09303994E11
85009036969,390.8203,477.1759,857.2285,-341.25,-581.68,123.52,3.40118995E11
85006720668,390.0124,459.5841,844.4968,-348.74,159.96,873.92,4.88376009E11
85005568157,391.7337,477.7934,845.0576,-173.38,-321.38,877.3,6.01749E11
85004001667,391.294,466.8863,845.0579,-346.05,-81.0,875.12,8.63379E11
85002051465,390.3513,447.2763,857.9675,-363.55,401.89,707.99,1.77036303E12
85002307570,390.9944,485.0561,845.9596,-183.79,-525.9,733.58,1.561059E12
85008723531,390.2154,447.8834,847.6187,-294.8,255.07,872.49,3.57561008E11
85009387912,391.2195,487.5554,848.1295,-468.71,-823.43,582.51,3.22677015E11
85003514745,391.0894,477.9547,848.526,-97.53,-434.05,912.08,9.9419397E11
85001357504,391.0797,479.5458,855.3162,-339.19,-771.32,-145.52,2.72967297E12
85006414732,391.85,431.3097,852.3565,-272.61,138.09,711.67,5.14538996E11
85003662715,390.7696,487.8504,852.5027,-561.21,-1133.21,324.18,9.50589E11
85008564826,390.3432,468.2154,852.5684,-418.39,94.67,1144.72,3.66282015E11
85006127443,391.8127,478.4339,854.71,-349.67,-555.97,20.83,5.40702015E11
85000118001,391.9789,477.9845,855.8581,-230.64,-176.8,516.07,2.79159222E13
85001345898,391.8599,429.7472,859.2631,-385.08,358.89,600.24,2.75583599E12
85010288154,391.1102,427.1731,859.3559,-412.39,434.2,441.96,2.79071982E11
85006144253,391.1409,469.522,857.9196,6.25,-331.87,878.43,5.40702015E11
85011242848,390.7668,445.5087,858.0052,-342.57,421.66,786.0,2.35466998E11
85008564837,390.4608,488.9811,847.5219,-323.64,-890.79,457.54,3.66282015E11
85000399431,391.0457,479.7165,858.72,-589.58,-934.93,124.87,9.3140287E12
85001784728,391.7597,466.18,859.1936,34.32,12.41,942.48,2.04943511E12
85004811268,390.7395,445.2268,852.6251,-340.78,365.66,831.02,7.0640101E11
85001043373,391.8453,466.2934,860.1912,-619.13,232.81,674.92,3.58433109E12
85012377073,390.0095,445.7816,852.7711,-357.33,318.21,779.34,1.91861998E11
85005797218,391.6363,458.0564,852.8764,-315.97,150.66,1087.7,5.7558598E11
85009218348,391.9512,458.1612,853.5309,-348.16,212.83,1123.36,3.31398021E11
85003158577,390.6393,475.7625,860.4638,-385.34,-889.65,354.32,1.11628793E12
85005232633,391.1105,512.803,854.0393,-292.95,-483.89,53.27,6.4535403E11
85012143848,390.0325,468.6716,859.2194,-47.12,-365.49,928.95,2.00582988E11
85012634748,391.2794,481.6949,854.7695,-488.49,-646.47,696.19,1.83141007E11
85012658289,390.709,476.8561,855.2966,-646.9,-184.94,222.82,1.83141007E11
85005225346,391.0153,494.1169,861.2501,-370.79,-989.36,293.95,6.4535403E11
85007067318,390.9483,427.7795,858.6655,-367.05,427.45,626.49,4.62213022E11
85005489743,391.236,480.1162,855.5028,-249.18,-988.12,-272.53,6.1047E11
85000416557,390.0469,461.2871,862.2703,-770.74,-96.81,848.94,8.9477465E12
85002659550,391.2782,437.1774,859.4442,-397.14,219.63,687.63,1.3430341E12
85000977949,391.8852,472.5862,856.4587,13.74,-351.7,829.68,3.82851901E12
85012355387,391.2086,477.362,856.6353,-285.15,-649.81,-33.7,1.91861998E11
85005727056,391.5784,491.6834,862.814,-485.23,-949.06,334.26,5.8430698E11
85003575340,391.8301,447.7399,857.5767,-413.68,334.69,658.33,9.7675202E11
85010291107,390.2975,511.7928,857.6487,-260.39,-560.45,67.77,2.79071982E11
85009406055,390.1879,462.5771,863.0446,-721.72,200.96,544.33,3.22677015E11
85009236004,390.8844,458.8521,859.6265,-322.84,312.25,1079.31,3.31398021E11
85005886546,391.9512,449.9055,857.9902,-436.95,399.29,706.09,5.6686497E11
85005167764,390.9263,426.0591,863.6378,-445.46,391.39,268.13,6.5407504E11
85008425868,390.2238,431.5092,859.7116,-401.1,328.17,371.13,3.75002989E11
85002227405,391.7291,431.0516,859.7742,-360.03,280.39,408.97,1.62210592E12
85012143849,390.4844,446.7603,858.012,-353.44,507.89,746.01,2.00582988E11
85005168833,391.3622,511.4951,858.5632,-241.86,-544.23,71.32,6.5407504E11
85009406057,390.4725,469.7243,858.5711,-28.85,-400.56,842.18,3.22677015E11
85005805666,391.2722,459.6483,859.8957,-765.74,341.82,965.44,5.7558598E11
85001697030,390.4995,429.0723,859.1859,-347.39,395.23,595.17,2.16280806E12
85007436106,391.9942,458.7271,860.4105,-643.35,448.66,960.59,4.36050002E11
85011670092,391.7686,478.8271,860.4929,-703.73,-1097.38,219.22,2.18025001E11
85010288136,390.3195,491.1282,867.5984,-461.62,-1139.52,358.77,2.79071982E11
85007837714,391.0014,439.5976,860.8929,-460.58,217.48,370.07,4.09886982E11
85000025068,390.1818,465.4788,868.2323,-1194.99,-8.79,780.26,9.0393165E13
85008124650,391.9485,466.795,862.8755,-929.69,-515.51,826.9,3.92445002E11
85007699719,391.6409,492.039,863.0259,-434.95,-1039.5,301.28,4.18607989E11
85008124647,390.2455,426.6361,863.2931,-440.45,518.48,242.63,3.92445002E11
85006424973,390.1844,490.0774,869.5899,-465.81,-1150.74,390.64,5.14538996E11
85000082502,390.3636,465.519,866.1368,-739.48,-172.9,1250.28,3.7465415E13
85004464734,391.2336,465.4791,870.3323,-1220.53,583.05,344.14,7.6744799E11
85011451672,390.3955,466.1804,866.2152,-753.55,-150.63,1202.39,2.26746008E11
85000741793,390.3161,475.1892,859.9263,-569.43,-635.06,454.89,5.0669006E12
85009068471,391.8731,467.1364,860.3414,-763.15,225.41,716.39,3.40118995E11
85000032242,391.9404,476.1906,871.3535,-962.73,-1176.46,608.37,7.6038395E13
85003969069,390.084,490.416,871.485,-316.06,-1189.42,309.54,8.721E11
85001203116,390.5075,439.6029,860.3656,-348.02,157.32,429.32,3.09595498E12
85011899257,391.4487,464.7428,868.0672,-1618.88,71.61,988.55,2.09303994E11
85012405134,391.0597,439.6369,860.4952,-458.11,312.46,381.65,1.91861998E11
85010847730,390.699,475.9306,872.1487,-685.03,-896.11,590.38,2.52908995E11
85007186115,391.5891,464.84,868.4583,-1761.28,-79.39,743.56,4.53492015E11
85000040714,390.3685,460.151,861.3759,-454.64,347.63,837.94,6.4317374E13
85012998044,391.7746,459.9025,861.7841,-1172.05,170.97,604.19,1.74420001E11
85011242832,390.2226,427.0659,872.6136,-285.13,552.03,0.01,2.35466998E11
85002506995,391.7384,478.8123,862.3675,-709.09,-990.21,384.35,1.43024403E12
85001893586,391.16,487.6693,873.4279,-464.98,-1166.37,403.8,1.92734088E12
85011899208,391.5438,473.5979,873.847,-1423.69,-794.16,351.18,2.09303994E11
85010847754,390.0624,455.5241,862.6586,-455.87,743.79,417.09,2.52908995E11
85000831639,390.4547,461.9509,862.7767,-721.54,16.19,665.75,4.5174783E12
85009929077,391.5296,467.8171,874.3675,-1630.27,-551.4,335.39,2.96513995E11
85012405128,390.835,465.9389,868.8219,-1318.38,87.18,801.38,1.91861998E11
85008425856,390.1601,481.2538,875.0132,-949.22,-1411.29,95.33,3.75002989E11
85002536124,390.8383,425.6283,869.3977,-222.33,487.95,75.96,1.41280202E12
85001710155,390.9965,466.3821,863.5272,-1049.71,-471.89,893.04,2.14536592E12
85011899209,391.175,446.1073,875.5117,-210.53,519.17,338.52,2.09303994E11
85007565991,390.0848,485.2052,875.8604,-459.12,-1285.59,89.91,4.27328995E11
85011899258,390.4968,440.3195,863.8304,-252.9,200.69,268.74,2.09303994E11
85011670046,390.0451,470.2042,876.2068,-752.38,-800.85,-573.8,2.18025001E11
85012688615,391.7502,430.5406,876.3571,-152.98,287.51,66.96,1.83141007E11
85005167757,390.0078,468.1899,877.0875,-1246.27,-288.1,-368.95,6.5407504E11
85006144228,391.8867,444.8984,877.1146,-326.68,447.51,-81.62,5.40702015E11
85003253700,391.1424,463.4203,863.9119,-691.74,322.78,693.04,1.08140403E12
85011451671,390.6747,465.3413,865.16,-853.51,-456.09,1384.44,2.26746008E11
85012143792,391.8795,469.8889,877.4362,-514.52,-793.14,-372.65,2.00582988E11
85006144227,391.2877,441.3251,877.4368,-220.86,625.73,18.35,5.40702015E11
85009752435,390.2433,467.9759,877.5421,-1042.1,76.36,-633.8,3.05235001E11
85000493982,391.6463,455.0036,877.5651,-287.65,774.76,39.72,7.58727E12
85010657934,391.1618,466.2694,877.5995,-980.26,266.4,-343.09,2.61630001E11
85012688620,390.4225,470.9148,877.6459,-1397.46,-1059.47,-95.02,1.83141007E11
85003517718,390.3018,470.8382,877.8033,-1382.48,-918.3,-65.59,9.9419397E11
85011042447,390.3119,455.0682,877.8081,-152.13,817.38,-97.64,2.44188004E11
85006952148,391.9828,469.5657,877.9417,-748.28,-837.22,-339.89,4.70933996E11
85012405129,390.511,465.1725,865.3066,-1009.07,-339.74,1262.37,1.91861998E11
85007565997,391.5125,462.5222,865.7486,-863.75,409.43,518.08,4.27328995E11
85006055931,390.3309,441.2409,878.0958,-216.85,635.4,2.07,5.49422989E11
85011899219,391.5139,465.3768,878.1089,-1160.15,-21.91,-172.27,2.09303994E11
85012997967,390.4782,469.6804,878.1969,-1557.28,-282.99,92.55,1.74420001E11
85012143789,391.0315,469.6512,878.2676,-804.58,-1094.05,-646.5,2.00582988E11
85012997969,391.2684,470.3106,878.3713,-1058.07,-1062.97,-380.56,1.74420001E11
85004763001,391.9688,469.8538,878.3756,-798.07,-962.84,-318.75,7.1512202E11
85012688619,390.105,467.5683,878.3952,-946.24,-42.85,-709.94,1.83141007E11
85000004639,391.0981,466.856,878.4513,-864.19,206.51,-556.84,2.47536867E14
85010471565,390.5284,466.131,865.7495,-820.3,86.85,1391.33,2.70351008E11
85012143790,390.5421,469.6435,878.5069,-513.43,-868.99,-421.81,2.00582988E11
85009578133,391.8562,476.9255,870.4055,-1072.63,-1012.96,820.81,3.13956008E11
85003761444,391.3448,468.5012,878.5475,-1000.45,823.62,-546.53,9.2442604E11
85011899218,390.6341,469.8513,878.6674,-526.12,-869.65,-337.59,2.09303994E11
85010471528,390.8123,470.0428,878.7779,-894.56,-994.72,-292.49,2.70351008E11
85012997966,391.0273,469.7842,878.7841,-699.9,-1212.7,-393.39,1.74420001E11
85003303258,391.5885,468.2869,878.7986,-1048.17,637.89,-250.73,1.06396202E12
85010288102,390.692,468.2294,878.9019,-1323.23,225.82,-839.61,2.79071982E11
85000029047,391.3833,470.0495,879.2868,-817.29,-973.53,-580.24,8.1707047E13
85012997968,390.613,469.9115,879.4243,-754.16,-1303.16,-171.48,1.74420001E11
85000071644,391.4843,458.191,879.471,-318.01,638.73,-304.91,4.1965454E13
85009752436,390.613,468.0983,879.5634,-774.79,576.87,-617.34,3.05235001E11
85011242806,391.1725,467.3619,879.7494,-808.15,337.14,-648.41,2.35466998E11
85009752461,390.9724,477.5383,870.5207,-500.92,-1530.19,792.85,3.05235001E11
85011899220,390.5977,467.4628,879.9854,-636.29,271.11,-558.37,2.09303994E11
85003862497,391.8253,463.9786,871.8719,-1054.05,632.7,389.76,8.9826302E11
85000750929,390.9722,471.3449,880.3342,-1176.67,-1209.15,-711.19,5.0058541E12
85010107426,391.1672,467.0986,880.3343,-496.7,413.37,-221.72,2.87792988E11
85009929067,391.1463,466.1821,880.4402,-545.59,532.56,117.78,2.96513995E11
85002676106,390.7058,517.2881,880.5087,-152.59,-682.36,198.08,1.33431296E12
85005971324,391.3725,510.1087,880.603,-279.25,-760.19,191.51,5.5814396E11
85007311341,390.0127,513.5471,880.6302,-225.22,-758.6,201.12,4.44771009E11
85006424962,391.525,467.0338,880.7115,-625.29,487.44,-216.26,5.14538996E11
85009235984,391.6679,475.9869,872.1304,-992.51,-1187.58,410.36,3.31398021E11
85008902990,391.9698,474.0829,872.8162,-1326.4,-678.93,486.77,3.48840002E11
85011899221,390.725,466.0862,880.941,-745.76,152.19,79.28,2.09303994E11
85012143801,391.8137,471.231,881.678,-972.77,-1058.29,-598.58,2.00582988E11
85007979165,391.7383,429.7614,881.885,-86.33,393.4,-124.38,4.01165976E11
85009929068,390.3733,445.2504,882.1026,-451.35,580.56,-196.56,2.96513995E11
85008740619,390.6444,480.9167,874.2961,-733.83,-1559.96,79.52,3.57561008E11
85003303257,390.5864,432.3595,882.551,-202.24,428.9,-134.78,1.06396202E12
