#OK
#SQL= 
#	with MyHalo as (
#	     select * from miniMDR1..FOF
#	        where snapnum=85
#		and fofId=85000004639
#	),
#	
#	fofHaloParticles as (
#	    select fP.* from miniMDR1..FOFParticles fP,
#	            MyHalo mH
#	        where fP.fofId = mH.fofId
#	            and fP.snapnum=85
#	)
#	
#	select p.* from fofHaloParticles hP, miniMDR1..particles p
#	    where p.particleId = hP.particleId
#MAXROWS UNLIMITED
#QUERYTIMEOUT 1400 sec
#DATE 2014-12-10 22:32:00.303 CET
#QUERYTIME 670 millisec
#COLUMN 1 name=particleId JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=snapnum JDBC_TYPE=5 JDBC_TYPENAME=smallint
#COLUMN 3 name=x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 4 name=y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 5 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 6 name=vx JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 7 name=vy JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 8 name=vz JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 9 name=phkey JDBC_TYPE=4 JDBC_TYPENAME=int
particleId,snapnum,x,y,z,vx,vy,vz,phkey
857516084826,85,391.5879,466.8338,879.9236,-732.1833,738.0312,-817.7709,993939385
857516084827,85,391.3761,466.8458,880.029,-668.0516,248.4726,-788.7463,993939385
857516084828,85,390.7993,466.7196,878.0611,-897.5339,169.8442,-343.9248,993939418
857516084830,85,391.3609,466.5987,878.8911,-949.6804,696.2042,-1327.2485,993939418
857516084835,85,391.7892,466.859,879.9545,-856.6726,495.4413,-484.6948,993939386
857516084840,85,390.9745,466.3178,878.3979,-2087.46,49.4542,736.3364,993939418
857516084845,85,391.3201,466.5227,879.1951,-900.5427,345.0186,-1187.6154,993939329
857516084847,85,391.1464,466.3425,878.2206,-2078.7322,-117.8269,739.2142,993939418
857516084848,85,391.2601,466.3221,878.1417,-2063.7957,-216.0591,681.3959,993939418
857516084850,85,391.6171,466.4483,878.8896,-1013.2313,834.1055,-1063.0602,993939419
857516084855,85,391.4066,466.5021,877.9397,-2061.3027,-391.9971,622.7853,993939418
857516084856,85,391.9005,466.7579,877.7355,-1950.9017,-515.4268,377.4559,993939420
857516084858,85,391.4248,465.7419,878.7344,-1821.3157,639.1109,69.863,993939417
857516084825,85,391.2375,467.0072,880.1441,-811.8093,329.0534,-706.6418,993939385
857516084823,85,391.4674,466.7791,879.47,-842.5832,107.5147,-1123.5586,993939329
857516084822,85,391.5431,466.547,878.6526,-1232.0718,668.8674,-1331.1385,993939418
857516084821,85,391.3682,467.3141,878.8712,-819.939,548.8308,-1373.3212,993939395
857516084820,85,391.391,466.8331,880.0406,-829.8884,616.7891,-491.9444,993939385
857516084819,85,391.4286,466.886,880.0423,-682.2965,449.9471,-585.201,993939385
857516084818,85,391.3801,466.8795,880.0476,-670.3651,439.7467,-679.325,993939385
857516084817,85,391.4674,466.8835,879.8304,-594.5394,409.281,-701.2904,993939390
857516084816,85,390.7269,465.985,878.8809,-107.7839,-720.6023,-258.1475,993939418
857516084814,85,391.327,467.0618,879.1902,-1171.7216,618.1251,-1183.6912,993939390
857516084813,85,391.1765,466.7841,879.5181,-683.9785,84.7001,-871.7572,993939329
857516084812,85,391.5119,466.7162,880.0509,-843.5914,626.6834,-550.1813,993939334
857516084811,85,391.5121,466.8392,879.8279,-596.5111,693.6796,-591.6723,993939390
857516084810,85,391.4089,466.767,879.4667,-588.9507,114.8678,-969.9077,993939329
857516084809,85,391.4238,466.7376,880.0786,-901.4254,472.0134,-652.2333,993939334
857516084808,85,390.128,466.965,878.5969,-618.0436,-1079.2902,-198.1478,993939486
857516084806,85,391.4423,467.0779,879.2131,-1112.426,688.5256,-1096.7329,993939390
857516084805,85,391.4798,466.8532,880.0106,-957.5065,520.9078,-663.655,993939385
857516084801,85,391.4996,466.8573,878.7501,-1253.8457,822.8027,-1292.4976,993939395
857516084798,85,391.2448,466.867,879.3898,-559.5302,494.4671,-1065.5623,993939390
857516084796,85,391.4131,467.0037,879.889,-634.3492,499.5099,-748.6489,993939385
857516084795,85,391.1632,467.166,879.0637,-1072.5212,547.6634,-1249.576,993939390
857516084794,85,391.4943,466.9739,879.7166,-817.4656,519.8625,-605.3696,993939390
857516084793,85,391.6962,466.2792,879.0239,-959.7803,759.8082,-1054.263,993939330
857516084862,85,391.3741,466.2268,878.0424,-2043.2168,-201.5819,574.7335,993939418
857517084073,85,390.7479,467.6369,878.6754,40.1898,-127.3727,318.7639,993939395
857517084081,85,391.5662,467.1087,879.1968,-22.8137,-242.9938,116.1176,993939390
